match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2036,1996-04-24,Slovakia,Bulgaria,0.0,0.0,Friendly,Trnava,Slovakia,False
2037,1996-04-24,South Africa,Brazil,2.0,3.0,Friendly,Johannesburg,South Africa,False
2038,1996-04-24,Switzerland,Wales,2.0,0.0,Friendly,Lugano,Switzerland,False
2039,1996-04-24,Venezuela,Uruguay,0.0,2.0,FIFA World Cup qualification,Caracas,Venezuela,False
2040,1996-04-26,Cayman Islands,Cuba,0.0,4.0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
2041,1996-04-26,Haiti,Dominican Republic,6.0,0.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
2042,1996-04-26,Turkmenistan,Iran,1.0,1.0,Friendly,Ashgabat,Turkmenistan,False
2043,1996-04-28,Barbados,Jamaica,2.0,0.0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
2044,1996-04-28,DR Congo,Congo,3.0,1.0,Friendly,Kinshasa,Zaïre,False
2045,1996-04-28,Haiti,Dominican Republic,1.0,1.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
2046,1996-04-28,Suriname,Guyana,2.0,1.0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
2047,1996-04-28,Turkmenistan,Iran,0.0,1.0,Friendly,Ashgabat,Turkmenistan,False
2048,1996-04-30,Israel,South Korea,4.0,5.0,Friendly,Jaffa,Israel,False
2049,1996-05-01,Poland,Belarus,1.0,1.0,Friendly,Mielec,Poland,False
2050,1996-05-01,Turkey,Ukraine,3.0,2.0,Friendly,Samsun,Turkey,False
2051,1996-05-04,Dominican Republic,Curaçao,2.0,1.0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2052,1996-05-05,El Salvador,Bolivia,1.0,1.0,Friendly,Washington,United States,True
2053,1996-05-05,Guyana,Suriname,2.0,1.0,CFU Caribbean Cup qualification,Georgetown,Guyana,False
2054,1996-05-05,Nicaragua,Guatemala,0.0,1.0,FIFA World Cup qualification,Diriamba,Nicaragua,False
2055,1996-05-05,Saint Kitts and Nevis,Saint Lucia,5.0,1.0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False
2056,1996-05-08,Greece,Georgia,2.0,1.0,Friendly,Ioannina,Greece,False
2057,1996-05-08,Tajikistan,Uzbekistan,4.0,0.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
2058,1996-05-09,Sweden,Slovakia,2.0,1.0,Friendly,Helsingborg,Sweden,False
2059,1996-05-10,Guatemala,Nicaragua,2.0,1.0,FIFA World Cup qualification,Guatemala,Guatemala,False
2060,1996-05-11,Curaçao,Dominican Republic,0.0,0.0,FIFA World Cup qualification,Willemstad,Netherlands Antilles,True
