Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-16 20:44:21,false,"Santiago de Surco Running","6.04","351","00:37:16","143","164","176","195","6:10","4:59","4","84","0.92","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:11.4","7","NaN","--","--","--","00:37:14","00:37:16","91","169"
Running,2024-05-15 06:08:35,false,"Santiago de Surco Running","4.59","280","00:27:59","152","168","179","187","6:05","4:38","2","85","0.92","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:02:50.6","5","NaN","--","--","--","00:27:58","00:27:59","69","157"
Running,2024-05-14 07:09:00,false,"Santiago de Surco Running","7.31","397","00:41:24","143","168","184","195","5:40","4:28","13","75","0.96","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:20.3","8","NaN","--","--","--","00:41:21","00:41:24","85","154"
Running,2024-05-13 05:06:20,false,"Santiago de Surco Running","7.54","471","00:46:27","152","176","185","195","6:10","4:40","24","98","0.88","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:02:32.4","8","NaN","--","--","--","00:46:26","00:46:27","67","149"
Running,2024-05-09 07:01:55,false,"Lurigancho Running","2.17","105","00:11:22","138","158","176","193","5:15","4:35","6","66","1.08","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:51.3","3","NaN","--","--","--","00:11:22","00:11:22","864","927"
Running,2024-05-07 04:35:29,false,"Santiago de Surco Running","15.34","881","01:26:29","151","176","181","195","5:38","4:30","56","125","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:35.9","16","NaN","--","--","--","01:26:21","01:26:29","255","337"
Running,2024-05-06 17:25:34,false,"Santiago de Surco Running","5.17","297","00:28:38","151","166","175","187","5:32","4:10","7","77","1.03","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:41.9","6","NaN","--","--","--","00:28:36","00:28:38","269","344"
Running,2024-05-05 05:00:15,false,"Santiago de Surco Running","5.32","317","00:32:41","148","167","182","191","6:09","5:17","15","96","0.89","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:43.3","6","NaN","--","--","--","00:32:38","00:32:41","187","288"
Running,2024-05-03 04:56:00,false,"Santiago de Surco Running","12.02","722","01:09:45","153","170","180","189","5:48","4:35","40","120","0.96","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:05.8","13","NaN","--","--","--","01:09:40","01:09:45","137","220"
Running,2024-05-02 07:11:49,false,"Santiago de Surco Running","6.18","334","00:34:52","143","157","179","189","5:38","4:09","19","152","0.99","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:45.1","7","NaN","--","--","--","00:34:50","00:34:52","72","211"
